Entry Time,Exit Time,Symbol,Type,Special,Entry,SL,TP,Exit,Reason,Result (%),Equity
20.07.25 08:45,20.07.25 18:52,VETUSDT,LONG,,0.027859,0.027302,0.028973,0.028974,TP,+4.00,174.13
20.07.25 09:51,20.07.25 19:03,OPUSDT,LONG,,0.7683,0.7529,0.7990,0.7994,TP,+4.05,181.18
20.07.25 11:19,20.07.25 19:44,UNIUSDT,LONG,,10.466,10.257,10.885,10.885,TP,+4.00,188.43
20.07.25 18:45,20.07.25 23:05,ALGOUSDT,LONG,,0.3018,0.2958,0.3139,0.2957,SL,-2.02,184.62
20.07.25 23:05,21.07.25 01:09,SPXUSDT,LONG,,1.9516,1.9126,2.0296,1.9123,SL,-2.01,180.90
20.07.25 20:42,21.07.25 01:16,TIAUSDT,LONG,,2.1821,2.1385,2.2694,2.1384,SL,-2.00,177.28
21.07.25 00:04,21.07.25 01:16,WLDUSDT,LONG,,1.2365,1.2118,1.2860,1.2105,SL,-2.10,173.55
20.07.25 20:02,21.07.25 01:17,UNIUSDT,LONG,,10.720,10.506,11.149,10.488,SL,-2.16,169.79
20.07.25 10:54,21.07.25 01:17,ETCUSDT,LONG,,24.767,24.272,25.758,24.259,SL,-2.05,166.31
21.07.25 01:44,21.07.25 03:19,STXUSDT,LONG,,0.8785,0.8609,0.9136,0.8609,SL,-2.00,162.98
21.07.25 18:35,21.07.25 19:16,TIAUSDT,LONG,,2.2401,2.1953,2.3297,2.1952,SL,-2.00,159.71
21.07.25 17:12,21.07.25 22:28,RENDERUSDT,LONG,,4.593,4.501,4.777,4.501,SL,-2.00,156.51
21.07.25 19:17,21.07.25 22:29,JUPUSDT,LONG,,0.6096,0.5974,0.6339,0.5973,SL,-2.01,153.36
21.07.25 22:01,22.07.25 04:40,SOLUSDT,LONG,,194.44,190.55,202.22,202.22,TP,+4.00,159.50
23.07.25 03:55,23.07.25 05:02,1000BONKUSDT,LONG,,0.035960,0.035241,0.037399,0.037399,TP,+4.00,165.88
23.07.25 06:45,23.07.25 10:43,TIAUSDT,LONG,✨,2.1742,2.1307,2.2829,2.1307,SL,-2.00,162.56
23.07.25 18:54,23.07.25 20:19,ENAUSDT,SHORT,,0.4651,0.4744,0.4465,0.4464,TP,+4.02,169.09
25.07.25 06:58,25.07.25 07:03,1000BONKUSDT,SHORT,,0.033035,0.033696,0.031714,0.033696,SL,-2.00,165.71
25.07.25 07:30,25.07.25 10:15,IPUSDT,SHORT,,5.09521,5.19711,4.89140,5.19713,SL,-2.00,162.40
25.07.25 10:00,25.07.25 11:19,ONDOUSDT,SHORT,,0.9959,1.0158,0.9561,1.0159,SL,-2.01,159.14
25.07.25 11:46,25.07.25 12:30,STXUSDT,SHORT,,0.7587,0.7739,0.7284,0.7741,SL,-2.03,155.91
25.07.25 10:58,25.07.25 12:32,WLDUSDT,SHORT,,1.1184,1.1408,1.0737,1.1408,SL,-2.00,152.79
25.07.25 12:17,25.07.25 12:34,XRPUSDT,SHORT,,3.0757,3.1372,2.9527,3.1374,SL,-2.01,149.72
25.07.25 12:19,25.07.25 13:02,ARBUSDT,SHORT,,0.4316,0.4402,0.4143,0.4403,SL,-2.02,146.70
26.07.25 11:31,26.07.25 15:06,1000FLOKIUSDT,LONG,,0.13239,0.12974,0.13769,0.12974,SL,-2.00,143.76
26.07.25 17:01,26.07.25 19:00,SUIUSDT,LONG,,4.0640,3.9827,4.2266,4.2271,TP,+4.01,149.53
26.07.25 20:03,26.07.25 21:53,AVAXUSDT,LONG,,24.651,24.158,25.637,25.644,TP,+4.03,155.55
26.07.25 08:45,27.07.25 10:34,JUPUSDT,LONG,,0.5526,0.5415,0.5747,0.5748,TP,+4.02,161.80
27.07.25 13:16,28.07.25 02:42,QNTUSDT,LONG,,125.72,123.21,130.75,130.75,TP,+4.00,168.27
26.07.25 09:15,28.07.25 08:16,1000PEPEUSDT,LONG,,0.0125683,0.0123169,0.0130710,0.0130719,TP,+4.01,175.01
27.07.25 18:00,28.07.25 10:08,BCHUSDT,LONG,,595.69,583.78,619.52,583.77,SL,-2.00,171.51
28.07.25 07:21,28.07.25 10:09,QNTUSDT,LONG,,131.92,129.28,137.20,129.27,SL,-2.01,168.06
28.07.25 06:30,28.07.25 12:51,AVAXUSDT,LONG,,26.045,25.524,27.087,27.087,TP,+4.00,174.78
28.07.25 03:48,28.07.25 15:46,STXUSDT,LONG,,0.8601,0.8429,0.8945,0.8428,SL,-2.01,171.26
28.07.25 05:53,28.07.25 21:20,BNBUSDT,LONG,,843.85,826.97,877.60,826.97,SL,-2.00,167.83
29.07.25 06:11,29.07.25 06:50,SPXUSDT,SHORT,,2.0978,2.1398,2.0139,2.1398,SL,-2.00,164.47
29.07.25 00:04,29.07.25 10:49,HBARUSDT,SHORT,,0.27029,0.27570,0.25948,0.27570,SL,-2.00,161.18
29.07.25 03:16,29.07.25 17:07,SUIUSDT,SHORT,,3.9470,4.0259,3.7891,3.7874,TP,+4.04,167.70
28.07.25 22:12,29.07.25 23:10,QNTUSDT,SHORT,,124.03,126.51,119.07,119.06,TP,+4.01,174.42
30.07.25 00:57,30.07.25 09:13,PENGUUSDT,SHORT,,0.037966,0.038725,0.036448,0.038728,SL,-2.01,170.92
31.07.25 13:56,31.07.25 15:21,AVAXUSDT,LONG,,23.990,23.510,24.950,23.509,SL,-2.01,167.49
31.07.25 14:28,31.07.25 15:42,TIAUSDT,LONG,,1.8409,1.8041,1.9145,1.8040,SL,-2.00,164.13
31.07.25 13:50,31.07.25 15:44,TAOUSDT,LONG,,380.70,373.09,395.93,373.08,SL,-2.00,160.84
31.07.25 16:03,31.07.25 16:08,ENAUSDT,LONG,,0.6581,0.6450,0.6845,0.6448,SL,-2.03,157.58
31.07.25 16:05,31.07.25 18:01,IPUSDT,LONG,,6.14098,6.01816,6.38662,6.38701,TP,+4.01,163.89
01.08.25 04:37,01.08.25 11:06,TAOUSDT,SHORT,,354.20,361.28,340.03,340.01,TP,+4.01,170.46
01.08.25 05:11,01.08.25 11:06,SEIUSDT,SHORT,,0.2921,0.2979,0.2804,0.2804,TP,+4.01,177.29
01.08.25 11:50,01.08.25 12:18,1000BONKUSDT,SHORT,,0.026121,0.026643,0.025076,0.026644,SL,-2.00,173.74
02.08.25 23:15,03.08.25 07:23,HBARUSDT,SHORT,,0.22985,0.23445,0.22066,0.23445,SL,-2.00,170.26
03.08.25 14:30,03.08.25 22:25,PENGUUSDT,LONG,,0.034089,0.033407,0.035453,0.035456,TP,+4.01,177.09
03.08.25 17:16,03.08.25 22:31,INJUSDT,LONG,,12.618,12.366,13.123,13.123,TP,+4.00,184.18
03.08.25 14:39,04.08.25 03:35,JUPUSDT,LONG,,0.4529,0.4438,0.4710,0.4711,TP,+4.02,191.58
03.08.25 23:06,04.08.25 03:41,XLMUSDT,LONG,,0.39520,0.38730,0.41101,0.41104,TP,+4.01,199.26
03.08.25 23:54,04.08.25 04:03,INJUSDT,LONG,,12.944,12.685,13.462,13.462,TP,+4.00,207.23
03.08.25 18:10,04.08.25 09:16,SPXUSDT,LONG,,1.6146,1.5823,1.6791,1.5821,SL,-2.01,203.06
04.08.25 06:26,04.08.25 12:53,JUPUSDT,LONG,,0.4707,0.4613,0.4895,0.4611,SL,-2.04,198.92
04.08.25 00:16,04.08.25 16:42,XRPUSDT,LONG,,2.9146,2.8563,3.0312,3.0312,TP,+4.00,206.88
03.08.25 19:22,04.08.25 17:02,HBARUSDT,LONG,,0.24487,0.23997,0.25466,0.25467,TP,+4.00,215.16
03.08.25 16:11,04.08.25 17:02,RENDERUSDT,LONG,,3.508,3.438,3.648,3.649,TP,+4.02,223.81
04.08.25 11:30,05.08.25 18:35,FETUSDT,LONG,,0.6482,0.6352,0.6741,0.6352,SL,-2.01,219.32
06.08.25 08:05,06.08.25 08:36,INJUSDT,SHORT,,12.619,12.871,12.114,12.873,SL,-2.01,214.91
06.08.25 07:49,06.08.25 08:39,1000BONKUSDT,SHORT,,0.023677,0.024151,0.022730,0.024165,SL,-2.06,210.48
06.08.25 06:45,06.08.25 17:45,TONUSDT,SHORT,,3.1628,3.2261,3.0363,3.2261,SL,-2.00,206.27
06.08.25 21:00,07.08.25 08:19,POLUSDT,LONG,,0.22361,0.21914,0.23255,0.23256,TP,+4.00,214.53
07.08.25 13:00,08.08.25 17:04,POLUSDT,LONG,,0.23585,0.23113,0.24528,0.24529,TP,+4.00,223.12
09.08.25 15:00,09.08.25 17:02,ETCUSDT,LONG,,23.441,22.972,24.379,22.970,SL,-2.01,218.64
10.08.25 04:32,11.08.25 11:22,XRPUSDT,SHORT,,3.2312,3.2958,3.1020,3.2959,SL,-2.00,214.26
10.08.25 06:22,11.08.25 13:18,SEIUSDT,SHORT,✨,0.3297,0.3363,0.3165,0.3165,TP,+4.00,222.84
12.08.25 07:32,12.08.25 13:40,1000BONKUSDT,SHORT,,0.024904,0.025402,0.023908,0.023907,TP,+4.00,231.76
12.08.25 14:32,12.08.25 15:31,1000BONKUSDT,SHORT,,0.024156,0.024639,0.023190,0.024649,SL,-2.04,227.03
